Layer (type),Output Shape,Param #
inception_v3 (Functional),"(None, 2, 2, 2048)",21802784
global_average_pooling2d_1 (GlobalAveragePooling2D),"(None, 2048)",0
dense_2 (Dense),"(None, 512)",1049088
batch_normalization_95 (BatchNormalization),"(None, 512)",2048
dense_3 (Dense),"(None, 2)",1026
